source|target|source_label|target_label|source_id|target_id
NO|NRS|NO|NRS|http://purl.obolibrary.org/obo/CHEBI_16480|http://purl.obolibrary.org/obo/PR_O43776
MMP3|MMP23B|MMP3|MMP23B|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/8510
MMP16|MMP17|MMP16|MMP17|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4326
MMP16|MMP27|MMP16|MMP27|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/64066
MMP23B|MMP9|MMP23B|MMP9|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4318
MMP16|MMP19|MMP16|MMP19|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4327
MMP16|MMP14|MMP16|MMP14|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4323
MMP16|MMP21|MMP16|MMP21|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/118856
MMP3|MMP20|MMP3|MMP20|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/9313
MMP7|MMP17|MMP7|MMP17|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4326
MMP3|MMP10|MMP3|MMP10|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/4319
Glucose|TKR|Glucose|TKR|http://purl.obolibrary.org/obo/CHEBI_17234|http://www.ncbi.nlm.nih.gov/gene/8277
MMP28|MMP20|MMP28|MMP20|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/9313
MMP15|MMP2|MMP15|MMP2|http://www.ncbi.nlm.nih.gov/gene/4324|http://www.ncbi.nlm.nih.gov/gene/4313
MMP28|MMP10|MMP28|MMP10|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/4319
MMP28|MMP1|MMP28|MMP1|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/4312
MMP28|MMP24|MMP28|MMP24|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/10893
MMP7|MMP9|MMP7|MMP9|http://www.ncbi.nlm.nih.gov/gene/4316|http://www.ncbi.nlm.nih.gov/gene/4318
MMP28|MMP27|MMP28|MMP27|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/64066
MMP28|MMP17|MMP28|MMP17|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/4326
MMP3|MMP9|MMP3|MMP9|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/4318
MMP16|MMP25|MMP16|MMP25|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/64386
PRKCI|PRKCA|PRKCI|PRKCA|http://www.ncbi.nlm.nih.gov/gene/5584|http://www.ncbi.nlm.nih.gov/gene/5578
MMP16|MMP20|MMP16|MMP20|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/9313
MMP16|MMP1|MMP16|MMP1|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4312
PRKCD|PRKCB|PRKCD|PRKCB|http://www.ncbi.nlm.nih.gov/gene/5580|http://www.ncbi.nlm.nih.gov/gene/5579
MMP24|MMP19|MMP24|MMP19|http://www.ncbi.nlm.nih.gov/gene/10893|http://www.ncbi.nlm.nih.gov/gene/4327
MMP3|MMP27|MMP3|MMP27|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/64066
MMP23B|MMP11|MMP23B|MMP11|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4320
MMP23B|MMP10|MMP23B|MMP10|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4319
MMP23B|MMP2|MMP23B|MMP2|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4313
MMP28|MMP11|MMP28|MMP11|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/4320
MMP23B|MMP1|MMP23B|MMP1|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4312
MMP28|MMP8|MMP28|MMP8|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/4317
MMP28|MMP13|MMP28|MMP13|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/4322
MMP20|MMP9|MMP20|MMP9|http://www.ncbi.nlm.nih.gov/gene/9313|http://www.ncbi.nlm.nih.gov/gene/4318
MMP20|MMP8|MMP20|MMP8|http://www.ncbi.nlm.nih.gov/gene/9313|http://www.ncbi.nlm.nih.gov/gene/4317
MMP10|MMP17|MMP10|MMP17|http://www.ncbi.nlm.nih.gov/gene/4319|http://www.ncbi.nlm.nih.gov/gene/4326
MMP15|MMP17|MMP15|MMP17|http://www.ncbi.nlm.nih.gov/gene/4324|http://www.ncbi.nlm.nih.gov/gene/4326
MMP21|MMP17|MMP21|MMP17|http://www.ncbi.nlm.nih.gov/gene/118856|http://www.ncbi.nlm.nih.gov/gene/4326
Glucose|Fructose|Glucose|Fructose|http://purl.obolibrary.org/obo/CHEBI_17234|http://purl.obolibrary.org/obo/CHEBI_28757
MMP28|MMP2|MMP28|MMP2|http://www.ncbi.nlm.nih.gov/gene/79148|http://www.ncbi.nlm.nih.gov/gene/4313
MMP16|MMP11|MMP16|MMP11|http://www.ncbi.nlm.nih.gov/gene/4325|http://www.ncbi.nlm.nih.gov/gene/4320
MMP23B|MMP12|MMP23B|MMP12|http://www.ncbi.nlm.nih.gov/gene/8510|http://www.ncbi.nlm.nih.gov/gene/4321
MMP3|MMP1|MMP3|MMP1|http://www.ncbi.nlm.nih.gov/gene/4314|http://www.ncbi.nlm.nih.gov/gene/4312
