Curie,Uri
DRUGBANK:DB09157,http://purl.obolibrary.org/obo/DRUGBANK_DB09157
GO:0044216,http://purl.obolibrary.org/obo/GO_0044216
DRUGBANK:DB02338,http://purl.obolibrary.org/obo/DRUGBANK_DB02338
PR:000036821,http://purl.obolibrary.org/obo/PR_000036821
DRUGBANK:DB12982,http://purl.obolibrary.org/obo/DRUGBANK_DB12982
DRUGBANK:DB00544,http://purl.obolibrary.org/obo/DRUGBANK_DB00544
DRUGBANK:DB00563,http://purl.obolibrary.org/obo/DRUGBANK_DB00563
DRUGBANK:DB11118,http://purl.obolibrary.org/obo/DRUGBANK_DB11118
DRUGBANK:DB00997,http://purl.obolibrary.org/obo/DRUGBANK_DB00997
DRUGBANK:DB00693,http://purl.obolibrary.org/obo/DRUGBANK_DB00693
DRUGBANK:DB00066,http://purl.obolibrary.org/obo/DRUGBANK_DB00066
DRUGBANK:DB14031,http://purl.obolibrary.org/obo/DRUGBANK_DB14031
DRUGBANK:DB05829,http://purl.obolibrary.org/obo/DRUGBANK_DB05829
DRUGBANK:DB03088,http://purl.obolibrary.org/obo/DRUGBANK_DB03088
DRUGBANK:DB12257,http://purl.obolibrary.org/obo/DRUGBANK_DB12257
DRUGBANK:DB12765,http://purl.obolibrary.org/obo/DRUGBANK_DB12765
UBERON:3010752,http://purl.obolibrary.org/obo/UBERON_3010752
DRUGBANK:DB00184,http://purl.obolibrary.org/obo/DRUGBANK_DB00184
DRUGBANK:DB15834,http://purl.obolibrary.org/obo/DRUGBANK_DB15834
DRUGBANK:DB00172,http://purl.obolibrary.org/obo/DRUGBANK_DB00172
PR:Q9LDA4,http://purl.obolibrary.org/obo/PR_Q9LDA4
DRUGBANK:DB00148,http://purl.obolibrary.org/obo/DRUGBANK_DB00148
DRUGBANK:DB14128,http://purl.obolibrary.org/obo/DRUGBANK_DB14128
DRUGBANK:DB15150,http://purl.obolibrary.org/obo/DRUGBANK_DB15150
DRUGBANK:DB14085,http://purl.obolibrary.org/obo/DRUGBANK_DB14085
DRUGBANK:DB00974,http://purl.obolibrary.org/obo/DRUGBANK_DB00974
DRUGBANK:DB03057,http://purl.obolibrary.org/obo/DRUGBANK_DB03057
DRUGBANK:DB14160,http://purl.obolibrary.org/obo/DRUGBANK_DB14160
