source|target|source_label|target_label|source_id|target_id
α-synuclein|TrkB|α-synuclein|TrkB|http://www.ncbi.nlm.nih.gov/gene/6622|http://www.ncbi.nlm.nih.gov/gene/4915
TrkB|AKT 1|TrkB|AKT 1|http://www.ncbi.nlm.nih.gov/gene/4915|http://www.ncbi.nlm.nih.gov/gene/207
δ-secretase|TrkB|δ-secretase|TrkB|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ncbi.nlm.nih.gov/gene/4915
SRPK2|δ-secretase|SRPK2|δ-secretase|http://www.ncbi.nlm.nih.gov/gene/6733|http://www.ncbi.nlm.nih.gov/gene/5641
AKT 1|AKT 1|AKT 1|AKT 1|http://www.ncbi.nlm.nih.gov/gene/207|http://www.ncbi.nlm.nih.gov/gene/207
BDNF|TrkB|BDNF|TrkB|http://www.ncbi.nlm.nih.gov/gene/627|http://www.ncbi.nlm.nih.gov/gene/4915
STAT1|BACE1|STAT1|BACE1|http://www.ncbi.nlm.nih.gov/gene/6772|http://www.ncbi.nlm.nih.gov/gene/23621
AKT 1|δ-secretase|AKT 1|δ-secretase|http://www.ncbi.nlm.nih.gov/gene/207|http://www.ncbi.nlm.nih.gov/gene/5641
Prolegumain|δ-secretase|Prolegumain|δ-secretase|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ncbi.nlm.nih.gov/gene/5641
AKT 1|AKT 3|AKT 1|AKT 3|http://www.ncbi.nlm.nih.gov/gene/207|http://www.ncbi.nlm.nih.gov/gene/10000
δ-secretase|Microtubule-associated protein tau|δ-secretase|Microtubule-associated protein tau|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ncbi.nlm.nih.gov/gene/4137
SET|PP2A|SET|PP2A|http://www.ncbi.nlm.nih.gov/gene/6418|http://www.ncbi.nlm.nih.gov/gene/5516
Amyloid-beta|Alzheimer's disease|Amyloid-beta|Alzheimer's disease|http://purl.obolibrary.org/obo/CHEBI_64645|http://www.ebi.ac.uk/efo/EFO_0000249
Dopamine|DOPAL|Dopamine|DOPAL|http://purl.obolibrary.org/obo/CHEBI_18243|http://purl.obolibrary.org/obo/CHEBI_27978
Microtubule-associated protein tau|STAT1|Microtubule-associated protein tau|STAT1|http://www.ncbi.nlm.nih.gov/gene/4137|http://www.ncbi.nlm.nih.gov/gene/6772
LGMN|Prolegumain|LGMN|Prolegumain|http://www.ncbi.nlm.nih.gov/gene/5641|http://www.ncbi.nlm.nih.gov/gene/5641
BACE1|Amyloid-beta|BACE1|Amyloid-beta|http://www.ncbi.nlm.nih.gov/gene/23621|http://purl.obolibrary.org/obo/CHEBI_64645
APP|Amyloid-beta|APP|Amyloid-beta|http://www.ncbi.nlm.nih.gov/gene/351|http://purl.obolibrary.org/obo/CHEBI_64645
TDP-43|δ-secretase|TDP-43|δ-secretase|http://www.ncbi.nlm.nih.gov/gene/23435|http://www.ncbi.nlm.nih.gov/gene/5641
